MLS,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Realtor
C4255043,Pump Hill, 15  PUMP HILL CL SW,A,"$9,888,000 ",,522.301,5 Lvl Split,14,5,4,3,Yes,1976,Northeast,,5,Fully Finished,4,Triple Garage Attached,Seller,NEG,30,,Wood Frame,"Ceramic Tile, Marble, Wall to Wall Carpet","5,622",Mark D Evernden
C4253560,Aspen Woods, 61  ASPEN RIDGE HT SW,A,"$6,888,000 ",,663.699,3 Storey,16,7,7,1,Yes,2017,East,63.2,2,Fully Finished,4,Quad or More Attached,Seller,NEG,38,,Wood Frame,"Hardwood, Non-Ceramic Tile","7,144",Mark D Evernden
C4249149,Bel-Aire, 1116  BEVERLEY BV SW,A,"$4,750,000 ",,590.399,2 Storey,12,6,5,3,Yes,2015,Southeast,28.5,3,Fully Finished,5,Quad or More Attached,Seller,negotiable,42,,Wood Frame,"Hardwood, Stone","6,355",John A McNeill
C4241465,Upper Mount Royal, 1339  FRONTENAC AV SW,A,"$4,738,000 ",,536.236,2 Storey,18,5,5,1,Yes,2010,North,47.82,,Fully Finished,3,"Triple Garage Attached, Insulated, Heated",Seller,Negotiable,89,,Wood Frame,"Carpet, Hardwood, Marble","5,772",Gordon W Ross
C4247521,Lakeview, 6943  LIVINGSTONE DR SW,A,"$4,500,000 ",,522.208,2 Storey,13,4,5,2,Yes,2000,Northwest,25.9,5,Fully Finished,3,Triple Garage Attached,Owner,Negotiable,52,,Wood Frame,"Carpet, Hardwood","5,621",John Hripko
C4248401,Upper Mount Royal, 2305  MORRISON ST SW,A,"$3,999,900 ",,379.323,2 Storey,13,6,4,1,Yes,2018,East,15.22,2,Fully Finished,3,"Triple Garage Attached, Heated, Over Sized",New; Never Occupied,Negotiable,52,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,083",John Hripko
C4247942,Springbank Hill, 15  SPRING VALLEY VW SW,A,"$3,988,000 ",,384.897,2 Storey,10,4,4,1,Yes,2012,North,26.14,2,Fully Finished,4,"Quad or More Attached, Front and Rear Drive Access, Heated, Over Sized, Parking Pad Cement or Paved",Seller,negotiable,48,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,143",Dennis J Plintz
C4242714,Upper Mount Royal, 1118  PREMIER WY SW,A,"$3,900,000 ",,468.138,2 Storey,11,5,4,2,Yes,2014,South,18.28,4,Fully Finished,3,"Triple Garage Attached, Insulated, Over Sized",New; Never Occupied,Negotiable,80,,Wood Frame,"Carpet, Hardwood, Marble, Non-Ceramic Tile","5,039",Mike Dreger
C4257555,Elbow Park, 934  RIVERDALE AV SW,A,"$3,895,000 ",,447.049,2 Storey,15,5,5,1,Yes,1998,South,15.23,,Fully Finished,2,Double Garage Attached,Seller,Negotiable,5,,Wood Frame,"Ceramic Tile, Hardwood, Non-Ceramic Tile","4,812",Gordon W Ross
C4244306,Britannia, 4244  BRITANNIA DR SW,A,"$3,680,000 ",,355.447,2 Storey,12,5,4,1,Yes,2012,North,32,2,Fully Finished,2,Double Garage Attached,Owner,Negotiable,73,,Wood Frame,"Carpet, Carpet Over Hardwood, Hardwood","3,826",Anne Margaret Clarke-Davidson
C4258488,Upper Mount Royal, 1311  CABOT ST SW,A,"$3,388,000 ",,525.924,4 Lvl Split,9,3,5,2,Yes,1950,North,30.51,3,Fully Finished,3,Triple Garage Attached,Seller,Negotiable,2,,Wood Frame,"Hardwood, Marble","5,661",Gizella Davis
C4256969,Elbow Park, 3931  Edison CR SW,A,"$3,350,000 ",,448.443,2 Storey,11,5,5,1,Yes,2015,South,19.1,5,Fully Finished,3,Triple Garage Detached,Vacant,,18,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, See Remarks","4,827",Shelagh Krause
C4244923,Upper Mount Royal, 625  EARL GREY CR SW,A,"$3,295,000 ",,430.141,2 Storey,14,6,5,1,Yes,1949,Northeast,47.66,2,Fully Finished,3,Triple Garage Attached,Owner,Negotiable,60,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,630",John Hripko
C4241231,Upper Mount Royal, 1117  DORCHESTER AV SW,S,"$3,500,000 ","$3,280,000 ",344.299,2 Storey,10,5,4,1,Yes,2018,North,15.2,2,Fully Finished,4,Quad or More Detached,New; Never Occupied,negotiable,21,,Wood Frame,"Carpet, Hardwood, Marble, Non-Ceramic Tile","3,706",Lori Russell
C4257553,Rosedale, 1427  4 ST NW,A,"$3,199,999 ",,367.803,2 Storey,12,7,7,2,Yes,2019,East,15.24,3,Fully Finished,4,"Quad or More Detached, 220 Volt Wiring, Insulated",New; Never Occupied,,4,,Wood Frame,"Ceramic Tile, Vinyl Plank","3,959",Uros Markovic
