MLS®#,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Listing REALTOR® 1 Name
C4239700,Dover, 127  VALLEYVIEW CO SE,S,"$599,999 ","$581,000 ",199.37,2 Storey,8,4,3,1,Yes,2010,Southwest,7.28,1,Fully Finished,2,Double Garage Attached,Owner,NEGOTIABLE,19,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,146",Cindy Bauer
C4210544,Dover, 135  VALLEYVIEW CO SE,S,"$562,500 ","$545,000 ",196.583,2 Storey,9,4,3,1,Yes,2007,Northwest,27.02,2,Fully Finished,2,Double Garage Attached,Seller,negotiable,23,,Wood Frame,"Hardwood, Wall to Wall Carpet","2,116",Janet Miller
C4257021,Dover, 4007  DOVERCREST DR SE,A,"$415,000 ",,87.422,Bi-Level,5,3,2,0,No,1973,East,13.4,,Fully Finished,2,Double Garage Detached,Seller,Negotiable,19,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",941,Doug McNaughton
C4222395,Dover, 84  DOVER MEADOW CL SE,S,"$379,998 ","$374,000 ",107.86,Bungalow,7,5,3,0,Yes,1972,South,9.2,,"Fully Finished, Suite",2,Double Garage Detached,Vacant,NEGOTIABLE,66,,Wood Frame,"Carpet, Laminate Flooring, Non-Ceramic Tile","1,161",Harry Mann
C4235852,Dover, 216  DOVERVIEW CR SE,S,"$369,900 ","$371,000 ",89.187,Bi-Level,6,4,2,0,Yes,1972,Southeast,16.2,1,Fully Finished,3,"Triple Garage Detached, Insulated, Heated, Over Sized, RV Parking",Seller,Negotiable,26,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring",960,Tracy L Barker
C4184235,Dover, 44  DOVER RIDGE PL SE,S,"$379,000 ","$368,450 ",103.866,Bungalow,6,3,2,1,Yes,1972,East,16.72,1,Fully Finished,2,"Double Garage Attached, Rear Drive Access",Seller,Negotiable,167,,Wood Frame,"Carpet, Carpet Over Softwood, Hardwood, Laminate Flooring, Linoleum, See Remarks","1,118",Ravi Duhra
C4244471,Dover, 3323  DOVERCLIFFE RD SE,A,"$356,000 ",,77.295,Bungalow,4,3,1,0,No,1971,East,12.9,,Partly Finished,2,"Double Garage Detached, 2 Outdoor Stalls",Vacant,NEG,76,,Wood Frame,"Carpet, Vinyl Plank",832,Joanne Bukacel
C4221710,Dover, 179  DOVELY CR SE,S,"$364,888 ","$354,500 ",92.996,Bungalow,6,4,2,0,No,1975,South,12.01,1,"Fully Finished, Suite",1,Single Garage Detached,Vacant,,17,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,001",Shaukat Hayat
C4217735,Dover, 3243  39 ST SE,S,"$359,900 ","$350,000 ",107.303,Bungalow,6,5,2,0,No,1970,East,12.19,,Suite,,"Parking Pad Gravel, Rear Drive Access, RV Parking",Seller,Negotiable,23,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,155",Mehboob Damji
C4188419,Dover, 216  Dovercrest PL SE,S,"$359,900 ","$349,900 ",109.811,Bungalow,6,5,2,1,No,1973,North,15.3,1,Fully Finished,2,"Double Garage Detached, Over Sized",Owner,Negotiable,87,,Wood Frame,"Ceramic Tile, Cork Flooring, Hardwood, Linoleum","1,182",Daryl K Carlson
