MLS®#,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Listing REALTOR® 1 Name
C4235855,Penbrooke Meadows, 199  PENSVILLE RD SE,A,"$409,900",,107.489,4 Lvl Split,7,3,1,2,Yes,1974,North,16.77,0,Partly Finished,,Double Carport,Owner,,123,,Wood Frame,"Ceramic Tile, Hardwood","1,157",Pat Vuong
C4223363,Penbrooke Meadows, 235  PENBROOKE CL SE,A,"$399,900",,125.512,Bungalow,7,7,3,0,Yes,1972,South,10.54,1,"Fully Finished, Suite",,"2 Outdoor Stalls, RV Parking",Tenant Rights,Neg.,182,,Wood Frame,"Hardwood, Laminate Flooring","1,351",Ryan Guanlao
C4257189,Penbrooke Meadows, 1044  PENSDALE CR SE,A,"$389,900",,99.22,Bungalow,7,5,2,0,No,1970,North,16.5,,Fully Finished,2,Double Garage Detached,Owner,NEGOTIABLE,17,,Wood Frame,"Carpet, Hardwood","1,068",Donna L Gunn
C4248467,Penbrooke Meadows, 908  PENSDALE CR SE,A,"$389,900",,106.002,3 Lvl Split,6,3,2,1,Yes,1970,South,16.15,1,"Fully Finished, Suite",2,"Double Garage Detached, Over Sized, Rear Drive Access",Seller,Negotiable,56,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring","1,141",Ernest Gardy
C4255807,Penbrooke Meadows, 6631  PENBROOKE DR SE,S,"$429,000","$388,000",100.428,Bungalow,6,5,2,0,No,1974,West,15.23,,Suite,2,"Double Garage Detached, 220 Volt Wiring, Insulated",Vacant,NONE,22,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,081",Shah Khan
C4220376,Penbrooke Meadows, 1728  54 ST SE,S,"$379,000","$372,000",123.282,Bungalow,6,5,3,0,Yes,1969,West,15.23,,"Fully Finished, Suite",0,"Front and Rear Drive Access, Parking Pad Cement or Paved, RV Parking",Vacant,IMMEDIATE,97,,Wood Frame,"Laminate Flooring, Vinyl Plank","1,327",Henry Nguyen
C4211444,Penbrooke Meadows, 427  PENWORTH RI SE,S,"$379,888","$370,000",102.193,Bungalow,6,5,2,0,No,1973,North,18.65,,"Fully Finished, Suite",2,Double Garage Detached,Vacant,,77,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,100",Shaukat Hayat
C4258243,Penbrooke Meadows, 1028  PENSDALE CR SE,A,"$369,900",,131.737,3 Lvl Split,7,4,1,1,Yes,1970,North,16.46,1,Fully Finished,2,Double Garage Detached,Owner,neg,13,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Vinyl Plank","1,418",Jim Humber
C4257046,Penbrooke Meadows, 44  PENWORTH CR SE,A,"$369,900",,110.369,Bi-Level,6,5,2,1,Yes,1973,South,15.84,,"Fully Finished, Suite",2,Double Garage Detached,Undisclosed,NEGOTIABLE,20,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring","1,188",Henry Nguyen
C4238821,Penbrooke Meadows, 24  PENEDO PL SE,S,"$388,000","$361,000",103.308,Bungalow,6,6,3,1,Yes,1972,West,10.85,,Fully Finished,2,Double Garage Detached,Seller,Negotiable,42,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,112",Fi Traimany
