MLS®#,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Listing REALTOR® 1 Name
C4210716,Renfrew, 1311  COLGROVE AV NE,S,"$2,275,000","$2,200,000",256.412,2 Storey,10,4,4,1,Yes,2018,Northeast,9.91,2,Fully Finished,3,"Triple Garage Attached, Heated, Tandem",New; Never Occupied,Negotiable,60,,Wood Frame,"Ceramic Tile, Hardwood","2,760",Kimberly Vink
C4167953,Renfrew, 1109  REGENT CR NE,S,"$1,459,000","$1,400,000",225.197,2 & Half St,9,4,2,1,No,2001,East,15.25,1,Unfinished,2,"Double Garage Detached, Over Sized",Owner,neg,167,,Wood Frame,"Hardwood, Linoleum","2,424",Kevin Franks
C4258955,Renfrew, 1427  CHILD AV NE,A,"$1,375,000",,245.636,2 Storey,8,4,3,1,Yes,2008,Northeast,15,3,Fully Finished,2,"Double Garage Detached, Over Sized",Seller,Negotiable,7,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,644",Sam Patel
C4195583,Renfrew, 1335  COLGROVE AV NE,S,"$1,498,800","$1,355,000",243.963,2 Storey,8,4,3,1,Yes,2006,Northeast,12.18,2,Fully Finished,2,Double Garage Attached,Seller,negotiable,119,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,626",Thomas W Keeper
C4258638,Renfrew, 1125  READER CR NE,A,"$1,350,000",,227.055,2 Storey,9,5,3,1,Yes,2012,East,11.92,,Fully Finished,2,"Double Garage Detached, Insulated, Heated, Over Sized",Seller,Negotiable,3,,Wood Frame,"Carpet, Hardwood, Marble, Stone","2,444",Joel Semmens
C4236889,Renfrew, 1110  REGENT CR NE,S,"$1,425,000","$1,350,000",249.909,2 Storey,9,5,4,1,Yes,2012,West,14.63,1,Fully Finished,2,"Double Garage Detached, Over Sized",Seller,neg,18,,Wood Frame,"Ceramic Tile, Hardwood, See Remarks","2,690",Kevin Franks
C4244815,Renfrew, 610  11 AV NE,A,"$1,290,000",,316.056,2 Storey,10,4,4,1,Yes,2009,South,14.5,1,Fully Finished,2,"Double Garage Detached, Insulated, Rear Drive Access",Seller,Negotiable,70,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,402",Guy M Cooley
C4233925,Renfrew, 1122  COLGROVE AV NE,A,"$1,199,900",,261.243,3 Storey,8,4,4,1,Yes,2017,South,9.15,1,Fully Finished,2,Double Garage Detached,New; Never Occupied,Negotiable,126,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,812",Trevor Ramage
C4255277,Renfrew, 1116A  COLGROVE AV NE,A,"$1,184,900",,257.992,3 Storey,8,4,4,1,Yes,2015,South,8.13,1,Fully Finished,2,Double Garage Detached,Seller,Neg,32,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,777",Shawn Kennedy
C4222878,Renfrew, 610  14 AV NE,S,"$1,149,900","$1,135,000",250.374,2 Storey,11,5,3,1,Yes,2006,South,15.2,,Fully Finished,2,Double Garage Detached,Seller,negotiable,43,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,695",Blair Legault
C4210579,Renfrew, 1108A  COLGROVE AV NE,A,"$1,099,000",,230.492,3 Storey,8,3,3,1,No,2008,South,8.12,,Fully Finished,2,Double Garage Detached,Seller,Negotiable,238,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,481",Spencer Stupka
C4201916,Renfrew, 1420  Renfrew DR NE,S,"$1,095,000","$1,030,000",291.437,2 Storey,8,4,3,1,Yes,2005,West,20.86,1,Fully Finished,2,"Double Garage Detached, Insulated, Over Sized",Owner,negotiable,37,,Wood Frame,"Non-Ceramic Tile, Softwood","3,137",Brian P Mahoney
C4233130,Renfrew, 1318-1320  Phair AV NE,A,"$975,000",,214.141,Bi-Level,12,6,3,2,Yes,1969,South,16.76,,Partly Finished,2,"Single Garage Attached, Front Drive Access",Tenant,Ten Rights,127,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,305",Ray Pfob
C4258583,Renfrew, 1442  RUSSELL RD NE,A,"$949,000",,181.068,2 Storey,7,3,2,1,Yes,2019,West,9.13,,Fully Finished,2,Double Garage Detached,New; Never Occupied,,9,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,949",Justin Warthe
