ID,Address,City,St,Price,TAREA,Style,RMA,TBD,FB,HB,E/S,Yr Built,DOM
C4241231,1117 DORCHESTER AV SW,Calgary,S,"$3,280,000 ",344.299,2 Storey,10,5,4,1,Yes,2018,21
C4224378,20 ASPEN RIDGE MR SW,Calgary,S,"$3,000,000 ",739.136,2 Storey,14,4,5,4,Yes,2008,136
C4226601,11370 VALLEY RIDGE PA NW,Calgary,S,"$2,900,000 ",395.767,2 Storey,9,4,4,2,Yes,2008,121
C4256228,67 ROSERY DR NW,Calgary,S,"$2,350,000 ",396.046,2 Storey,8,4,4,1,Yes,2012,0
C4247838,1125 VALOIS AV SW,Calgary,S,"$1,850,000 ",276.665,Bungalow,9,5,4,0,Yes,1953,13
C4248307,52 Patterson DR SW,Calgary,S,"$1,800,000 ",369.197,2 Storey,8,6,3,3,Yes,1981,16
C4239536,132 FORTRESS BA SW,Calgary,S,"$1,560,000 ",331.106,2 Storey,10,5,4,1,Yes,2017,78
C4248035,3608 13A ST SW,Calgary,S,"$1,480,000 ",298.219,2 Storey,9,6,3,1,Yes,2002,24
C4209577,27 CARMANGAY CR NW,Calgary,S,"$1,430,000 ",327.483,2 Storey,11,4,3,1,Yes,2006,259
C4248145,127 35 ST NW,Calgary,S,"$1,425,000 ",243.592,2 Storey,6,4,3,1,Yes,2011,21
C4210068,214 MAHOGANY MR SE,Calgary,S,"$1,400,000 ",331.106,2 Storey,9,5,4,1,Yes,2013,260
C4246154,3136 LINDEN DR SW,Calgary,S,"$1,362,500 ",192.774,2 Storey,8,5,2,1,Yes,1966,47
C4249081,3016 7 ST SW,Calgary,S,"$1,327,750 ",327.762,2 & Half St,12,3,3,1,Yes,1978,16
C4210426,3835 13 ST SW,Calgary,S,"$1,325,000 ",312.061,2 Storey,10,5,4,2,Yes,2005,240
C4253773,423 CRESCENT BV SW,Calgary,S,"$1,306,000 ",195.282,Bungalow,7,4,3,1,Yes,1956,11
C4252681,109 MT DOUGLAS CI SE,Calgary,S,"$1,294,000 ",206.709,Bungalow,6,3,2,1,Yes,2001,35
C4244602,90 AUBURN SOUND LD SE,Calgary,S,"$1,275,000 ",231.05,Bungalow,6,3,3,1,Yes,2006,38
C4247987,536 LAKE ERIE GR SE,Calgary,S,"$1,244,000 ",243.034,4 Lvl Split,9,5,4,1,Yes,1972,21
C4252865,326 SCIMITAR BA NW,Calgary,S,"$1,200,000 ",324.882,2 Storey,11,5,3,1,Yes,1987,18
C4223658,1947 46 AV SW,Calgary,S,"$1,183,900 ",221.109,2 Storey,8,4,3,1,Yes,2006,139
C4244116,49 DOUGLAS PARK MR SE,Calgary,S,"$1,150,000 ",203.551,Bungalow,8,4,3,0,Yes,1993,34
C4235406,2024 PUMP HILL WY SW,Calgary,S,"$1,150,000 ",296.454,2 Storey,12,5,3,1,Yes,1976,73
C4253418,310 16A ST NW,Calgary,S,"$1,140,000 ",202.529,2 Storey,8,4,3,1,Yes,2013,10
C4228764,325 SIGNAL HILL PT SW,Calgary,S,"$1,130,000 ",357.955,2 Storey,13,5,4,1,Yes,1991,126
C4254661,72 SIGNATURE HT SW,Calgary,S,"$1,105,000 ",453.46,2 Storey,5,6,7,1,Yes,1993,16
C4229773,59 DIEPPE DR SW,Calgary,S,"$1,101,200 ",288.464,3 Storey,11,4,3,1,Yes,2019,90
C4245336,507 30 AV SW,Calgary,S,"$1,100,000 ",174.1,Bungalow,7,4,3,0,Yes,1984,39
C4247600,1119 RIVERDALE AV SW,Calgary,S,"$1,090,000 ",172.428,1 & Half St,13,6,2,1,Yes,1963,14
C4246216,1238 LANSDOWNE AV SW,Calgary,S,"$1,075,000 ",151.153,Bungalow,6,3,2,0,No,1960,40
C4244575,1602 - 7 ST NW,Calgary,S,"$1,075,000 ",143.164,Bungalow,6,3,3,0,Yes,2012,40
C4226348,62 AUBURN SOUND LD SE,Calgary,S,"$1,075,000 ",173.357,Bungalow,6,4,4,0,Yes,2006,122
C4249201,14 ASPEN CLIFF PL SW,Calgary,S,"$1,059,796 ",289.486,2 Storey,9,4,3,1,No,2010,12
C4253021,4 VARBROOK PL NW,Calgary,S,"$1,030,000 ",274.528,2 Storey,10,5,3,1,Yes,1969,9
C4229875,42 ASPEN RIDGE WY SW,Calgary,S,"$1,030,000 ",170.57,Bungalow,5,4,2,1,Yes,2003,122
C4249090,524 LAKE NEWELL CR SE,Calgary,S,"$1,025,000 ",241.548,2 Sty Split,8,6,3,0,Yes,1973,11
C4224317,2333 WESTMOUNT RD NW,Calgary,S,"$1,010,900 ",203.458,2 Storey,7,5,3,1,Yes,1998,162
C4249353,95 SIGNATURE HT SW,Calgary,S,"$1,008,000 ",299.426,2 Storey,9,5,3,1,Yes,1994,13
C4237586,2205 32 AV SW,Calgary,S,"$1,000,000 ",225.476,3 Storey,8,4,3,1,Yes,2011,96
C4242654,11020 WILLOWFERN DR SE,Calgary,S,"$975,000 ",214.606,2 Storey,7,5,3,1,Yes,1969,48
C4232813,64 WESTPARK CR SW,Calgary,S,"$975,000 ",257.341,2 Storey,9,4,3,1,Yes,2009,112
C4223423,3319 UPTON PL NW,Calgary,S,"$974,000 ",259.85,1 & Half St,10,5,3,1,Yes,1965,99
C4244837,90 CRANBROOK RI SE,Calgary,S,"$970,000 ",268.954,2 Storey,9,4,3,1,Yes,2018,31
C4253655,1315 4A ST NW,Calgary,S,"$965,000 ",144.836,Bungalow,6,4,2,1,Yes,1934,1
C4252727,536 SUNDERLAND AV SW,Calgary,S,"$960,000 ",160.815,Bungalow,7,4,2,0,No,1948,8
C4244795,1927 6 ST SE,Calgary,S,"$950,000 ",78.039,2 Storey,7,3,2,0,No,1938,30
C4206594,108 WOOD WILLOW CL SW,Calgary,S,"$946,000 ",367.153,2 Storey,12,5,4,1,Yes,1985,293
C4243175,67 DISCOVERY RIDGE MT SW,Calgary,S,"$945,000 ",290.879,2 Storey,12,5,3,1,Yes,2004,58
C4225125,35 Cranarch RI SE,Calgary,S,"$945,000 ",264.309,2 Storey,10,3,3,1,Yes,2012,150
C4256579,29 VAL GARDENA PL SW,Calgary,S,"$935,800 ",258.085,2 Storey,10,4,3,1,Yes,2007,10
C4242105,44 CHRISTIE KNOLL HT SW,Calgary,S,"$920,300 ",232.165,2 Storey,10,4,3,1,Yes,1989,65
C4254646,3412 UNDERWOOD PL NW,Calgary,S,"$920,000 ",254.554,2 Storey,11,5,2,1,Yes,1966,10
C4249298,4323 15 ST SW,Calgary,S,"$910,000 ",197.791,2 Storey,9,4,3,1,Yes,1969,10
