ID,Community,Address,St,LP,SP,TAREA,Style,RMA,Beds,FB,HB,E/S,Yr Built,XP,Front(M),FP,Basement Dev,E/P,Parking,Occupancy,Possession Notes,DOM,Condo Name,Cnstr,Flooring,SqFt,List Rltr
C4239700,Dover,127 VALLEYVIEW CO SE,S,"$599,999 ","$581,000 ",199.37,2 Storey,8,4,3,1,Yes,2010,Southwest,7.28,1,Fully Finished,2,Double Garage Attached,Owner,NEGOTIABLE,19,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,146",Cindy Bauer
C4257021,Dover,4007 DOVERCREST DR SE,A,"$415,000 ",,87.422,Bi-Level,5,3,2,0,No,1973,East,13.4,,Fully Finished,2,Double Garage Detached,Seller,Negotiable,13,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",941,Doug McNaughton
C4258307,Dover,124 DOVERTHORN BA SE,A,"$375,000 ",,110.09,4 Lvl Split,7,4,2,1,Yes,1973,Southwest,9,1,Fully Finished,2,"Double Garage Detached, Heated, Over Sized, RV Parking",Owner,NEGOTIABLE,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring, Linoleum","1,185",Sarah J Johnston
C4222395,Dover,84 DOVER MEADOW CL SE,S,"$379,998 ","$374,000 ",107.86,Bungalow,7,5,3,0,Yes,1972,South,9.2,,"Fully Finished, Suite",2,Double Garage Detached,Vacant,NEGOTIABLE,66,,Wood Frame,"Carpet, Laminate Flooring, Non-Ceramic Tile","1,161",Harry Mann
C4235852,Dover,216 DOVERVIEW CR SE,S,"$369,900 ","$371,000 ",89.187,Bi-Level,6,4,2,0,Yes,1972,Southeast,16.2,1,Fully Finished,3,"Triple Garage Detached, Insulated, Heated, Over Sized, RV Parking",Seller,Negotiable,26,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring",960,Tracy L Barker
C4244471,Dover,3323 DOVERCLIFFE RD SE,A,"$369,350 ",,77.295,Bungalow,4,3,1,0,No,1971,East,12.9,,Partly Finished,2,"Double Garage Detached, 2 Outdoor Stalls",Vacant,NEG,70,,Wood Frame,"Carpet, Vinyl Plank",832,Joanne Bukacel
C4221710,Dover,179 DOVELY CR SE,S,"$364,888 ","$354,500 ",92.996,Bungalow,6,4,2,0,No,1975,South,12.01,1,"Fully Finished, Suite",1,Single Garage Detached,Vacant,,17,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,001",Shaukat Hayat
C4223669,Dover,3050 30a ST SE,A,"$349,875 ",,84.728,Bungalow,4,4,3,0,No,1970,Southeast,12.5,,"Fully Finished, Suite",2,Double Garage Detached,Seller,negotiable,178,,Wood Frame,"Carpet, Ceramic Tile, Hardwood",912,Joe Howlett
C4221376,Dover,259 Dovercliffe WY SE,S,"$349,900 ","$342,500 ",98.291,Bungalow,7,5,2,0,No,1971,South,13.7,,Fully Finished,2,"Double Garage Detached, Insulated, Over Sized",Vacant,Negotiable,34,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","1,058",Lorraine Beale
C4246050,Dover,296 DOVERCLIFFE WY SE,A,"$342,000 ",,93.368,Bungalow,6,3,1,0,No,1971,North,17.66,1,Unfinished,2,Double Garage Detached,Seller,Neg,58,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,005",Laura Kitchen
C4254932,Dover,4103 DOVERBROOK RD SE,A,"$335,000 ",,99.128,Bi-Level,7,4,2,0,No,1972,West,12.19,,Fully Finished,2,"Double Garage Detached, Parking Pad Cement or Paved, RV Parking",Seller,Negotiable,26,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,067",Denise (Dee) A McLellan
C4238541,Dover,227 DOVER RIDGE CL SE,S,"$345,500 ","$335,000 ",58.064,Bi-Level,3,3,1,0,No,1972,South,12.79,1,Fully Finished,2,"Double Garage Detached, 220 Volt Wiring, Over Sized, Parking Pad Cement or Paved, RV Parking",Seller,Neg,60,,Wood Frame,"Carpet, Ceramic Tile, Hardwood",625,Shawn Kennedy
