MLS,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Realtor
C4258399,Sunnyside, 619  9 AV NW,A,"$499,000 ",,76.924,Bungalow,4,2,1,0,No,1915,North,7.64,,Unfinished,,"2 Outdoor Stalls, Parking Pad Gravel",Tenant Rights,negotiable,5,,Wood Frame,"Ceramic Tile, Laminate Flooring",828,Kristen Edmunds
C4258269,Coventry Hills, 224  COVECREEK CO NE,A,"$516,000 ",,201.507,2 Storey,8,5,3,1,Yes,2013,Southwest,3.9,,Fully Finished,2,Double Garage Attached,Tenant Rights,Negotiable,6,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,169",Romel Castro
C4258261,Marlborough, 5232  MARYVALE DR NE,A,"$424,800 ",,96.526,Bungalow,6,5,2,0,No,1968,South,15.23,,Fully Finished,2,Double Garage Detached,Vacant,Negotiable,6,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,039",Umair Lasi
C4258063,Cranston, 155  CRANFIELD CI SE,A,"$499,900 ",,214.234,2 Storey,8,3,2,1,No,2004,South,7.6,1,Unfinished,2,Double Garage Attached,Tenant,,7,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,306",Dave McDonald
C4259215,West Springs, 18  West Springs RD SW,A,"$595,000 ",,166.018,2 Storey,7,4,3,1,No,2001,North,12.2,1,Fully Finished,2,Double Garage Attached,Vacant,negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,787",Olena Sobkovych
C4258845,Copperfield, 13  COPPERPOND PR SE,A,"$511,900 ",,191.102,2 Storey,8,3,2,1,Yes,2014,North,10.5,1,Unfinished,2,Double Garage Attached,Seller,Negotiable,3,,Wood Frame,"Carpet, Ceramic Tile, Vinyl Plank","2,057",Aphrodite Karamitsanis
C4258184,Deer Run, 184  DEER RUN CL SE,A,"$425,000 ",,136.567,2 Storey,9,5,2,1,No,1978,South,15.24,,Partly Finished,1,Single Garage Attached,Seller,negotiable,7,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,470",Colin Gregory Ongyerth
C4258939,Kincora, 98  KINCORA LD NW,A,"$569,900 ",,122.911,Bungalow,6,3,2,1,Yes,2003,Southwest,11.59,2,Fully Finished,2,Double Garage Attached,Seller,NEGOTIABLE,0,,Wood Frame,"Carpet, Ceramic Tile, Linoleum","1,323",Barbara Daroux
C4258933,Saddle Ridge, 113  SADDLEFIELD CR NE,A,"$359,900 ",,97.177,4 Lvl Split,5,4,3,0,Yes,2003,South,9.1,,Fully Finished,,2 Outdoor Stalls,Tenant,Negotiable,0,,Concrete,"Carpet, Laminate Flooring, Linoleum","1,046",Raj K Sewak
C4259293,Saddle Ridge, 35  SADDLELAND DR NE,A,"$499,900 ",,164.16,2 Storey,7,4,3,1,Yes,2009,East,14.11,,"Fully Finished, Suite",2,Double Garage Attached,Seller,nego,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Laminate Flooring","1,767",Mandeep Duggal
